Player Name,Team,Conference,Position,Height,Year,GP,MIN,MPG,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,PTS,PPG,ORB,DRB,TOT RB,RPG,PF,AST,TO,STL,BLK,APG,SPG,DRBPG,ORBPG,BPG,TOPG,eFG,three_share,AST_TOV,FTR,TS_pct,usg,pts_per_40,reb_per_40,ast_per_40,stl_per_40,blk_per_40,tov_per_40,PC1,PC2,PC3,PC4
Traijan Sain,Minnesota State Mankato,Northern Sun Intercollegiate,G/F,76,Jr.,31,859,27.7,4.5,10.7,0.426,1.1,3.3,0.333,2.8,3.4,0.846,403,13.0,31,78,109,3.6,1.3,44,39,28,12,1.4193548387096775,0.9032258064516128,2.5161290322580645,1.0,0.3870967741935484,1.2580645161290325,0.4719626168224299,0.308411214953271,1.1282051282051282,0.3177570093457944,0.5329616267628731,0.0595995343422584,18.766006984866124,5.0756693830034925,2.048894062863795,1.3038416763678695,0.5587892898719441,1.8160651920838184,0.23241733395629982,-0.20834217404642405,0.6840305209982589,-0.5715719825889367
Malcolm Jones,Minnesota State Mankato,Northern Sun Intercollegiate,F,80,Sr,33,782,23.7,5.1,8.7,0.583,0.1,0.3,0.222,2.6,3.9,0.654,422,12.8,83,172,255,7.8,1.9,12,25,21,25,0.3636363636363636,0.6363636363636364,5.212121212121212,2.515151515151515,0.7575757575757576,0.7575757575757576,0.5919540229885057,0.0344827586206896,0.48,0.4482758620689655,0.6144393241167436,0.0452890025575447,21.585677749360613,13.043478260869566,0.6138107416879796,1.0741687979539642,1.278772378516624,1.278772378516624,4.057800313537,-0.3681417472797682,1.6796292027286832,-0.38315640322692224
Arhman Lewis,Minnesota State Mankato,Northern Sun Intercollegiate,G,72,Jr.,32,992,31.0,4.3,10.0,0.434,1.3,3.5,0.375,2.3,3.1,0.73,394,12.3,13,77,90,2.8,1.5,133,44,21,2,4.15625,0.65625,2.40625,0.40625,0.0625,1.375,0.495,0.35,3.022727272727273,0.31,0.5411826821541711,0.0558104838709677,15.887096774193548,3.629032258064516,5.362903225806451,0.846774193548387,0.0806451612903225,1.774193548387097,-2.5539754593561406,1.087876054103752,1.9583890640923816,1.6418481285504385
Caden Kirkman,Minnesota State Mankato,Northern Sun Intercollegiate,F,80,Jr.,33,825,25.0,4.5,8.0,0.568,0.5,1.2,0.425,1.8,2.6,0.682,376,11.4,66,142,208,6.3,2.4,23,35,16,18,0.696969696969697,0.4848484848484848,4.303030303030303,2.0,0.5454545454545454,1.0606060606060606,0.59375,0.15,0.6571428571428571,0.325,0.6233595800524935,0.0535078787878787,18.23030303030303,10.084848484848486,1.1151515151515152,0.7757575757575758,0.8727272727272728,1.696969696969697,2.7130816344037583,-0.8023321769847201,1.1406957179476582,-0.3218858843777566
Colton Benson,Minnesota State Mankato,Northern Sun Intercollegiate,F,77,Fr,32,829,25.9,2.8,6.6,0.425,1.8,4.6,0.392,2.3,2.6,0.867,310,9.7,35,77,112,3.5,2.1,9,12,12,2,0.28125,0.375,2.40625,1.09375,0.0625,0.375,0.5606060606060606,0.6969696969696969,0.75,0.393939393939394,0.6262913223140496,0.023816646562123,14.957780458383594,5.404101326899879,0.4342581423401689,0.5790108564535585,0.0965018094089264,0.5790108564535585,0.10785509497243155,-2.586379970447744,1.0399345921533074,-0.7588125966853708
Will Opsahl,Minnesota State Mankato,Northern Sun Intercollegiate,F,79,So,31,722,23.3,2.6,6.5,0.398,1.2,3.6,0.336,1.6,1.9,0.845,248,8.0,22,71,93,3.0,2.1,25,16,12,0,0.8064516129032258,0.3870967741935484,2.2903225806451615,0.7096774193548387,0.0,0.5161290322580645,0.4923076923076923,0.5538461538461539,1.5625,0.2923076923076922,0.5452562704471101,0.0323213296398891,13.739612188365651,5.152354570637119,1.3850415512465375,0.664819944598338,0.0,0.8864265927977839,-0.5607559044222248,-2.0265503186297944,0.9808023424134521,0.3253886108027128
Phoenix Childs,Minnesota State Mankato,Northern Sun Intercollegiate,G/F,77,Fr,20,358,17.9,2.0,6.1,0.32,1.2,3.9,0.295,0.8,1.0,0.75,116,5.8,18,28,46,2.3,2.0,9,23,9,9,0.45,0.45,1.4,0.9,0.45,1.15,0.4262295081967213,0.639344262295082,0.391304347826087,0.1639344262295082,0.4434250764525994,0.0825139664804469,12.960893854748605,5.139664804469274,1.005586592178771,1.005586592178771,1.005586592178771,2.569832402234637,-0.11165999088587622,-1.6773228354336365,-1.1548374901888014,-1.1554659345709366
Joe Buchanan,Minnesota State Mankato,Northern Sun Intercollegiate,G/F,77,So,12,150,12.5,1.8,5.2,0.355,1.6,4.4,0.358,0.0,0.0,0.0,64,5.3,4,11,15,1.2,0.7,9,7,0,5,0.75,0.0,0.9166666666666666,0.3333333333333333,0.4166666666666667,0.5833333333333334,0.5,0.8461538461538461,1.2857142857142858,0.0,0.5096153846153846,0.0813333333333333,17.066666666666666,4.0,2.4,0.0,1.3333333333333333,1.8666666666666667,-1.4478916095104457,-2.4916758414972393,0.0794203325443676,-0.6666302933657078
Carson Schweim,Minnesota State Mankato,Northern Sun Intercollegiate,F,79,So,28,414,14.8,1.4,4.2,0.322,0.9,3.1,0.287,0.4,0.9,0.462,112,4.0,17,62,79,2.8,0.8,9,9,9,9,0.3214285714285714,0.3214285714285714,2.2142857142857144,0.6071428571428571,0.3214285714285714,0.3214285714285714,0.4404761904761904,0.7380952380952381,1.0,0.2142857142857142,0.4351610095735422,0.0328405797101449,10.82125603864734,7.632850241545893,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8695652173913043,-0.4217028138392104,-2.6819707269773314,-0.1246595411848175,0.18931910935548968
David Harmon,Minnesota State Mankato,Northern Sun Intercollegiate,G,75,Sr,18,193,10.7,0.9,2.4,0.395,0.3,1.1,0.3,0.4,0.6,0.8,49,2.7,4,25,29,1.6,0.9,30,23,9,0,1.6666666666666667,0.5,1.3888888888888888,0.2222222222222222,0.0,1.2777777777777777,0.4375,0.4583333333333333,1.3043478260869563,0.25,0.5067567567567568,0.1329740932642487,10.155440414507773,6.010362694300518,6.217616580310881,1.865284974093264,0.0,4.766839378238342,-2.394234976711137,2.4256614436536963,-1.4260153856612228,-0.31680093453542785
